date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:14	71549/71549	---M-Z	200	added ('OK')	text/html	etag:W/%225e8477a5-1177d%22	https://affiliaya.itproffer.design/superaffoutbreak/	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/superaffoutbreak/index.html	(from )
19:48:14	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e56f902-247b%22	https://affiliaya.itproffer.design/robots.txt		(from )
19:48:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:16%20GMT	https://affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.css?ver=2.4.9.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.07fc7.delayed	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:14	704/704	---M-Z	200	added ('OK')	text/css	etag:W/%225e8477a5-2c0%22	https://affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.css?ver=2.4.9.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base7fc7.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:15	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:17%20GMT	https://affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.3.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/style.min531b.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:15	92846/92846	---M-Z	200	added ('OK')	text/css	etag:W/%225e8477a5-16aae%22	https://affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.3.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/style.min531b.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:15	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:17%20GMT	https://affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.3.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/menu-animation.min531b.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:16	3412/3412	---M-Z	200	added ('OK')	text/css	etag:W/%225e8477a5-d54%22	https://affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.3.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/menu-animation.min531b.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:16	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:17%20GMT	https://affiliaya.github.io/offerus/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-includes/css/dist/block-library/style.min9dff.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:16	41467/41467	---M-Z	200	added ('OK')	text/css	etag:W/%225e8477a5-a1fb%22	https://affiliaya.itproffer.design/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-includes/css/dist/block-library/style.min9dff.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:16	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:18%20GMT	https://affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.4.9.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat7fc7.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:17	533870/533870	---M-Z	200	added ('OK')	text/css	etag:W/%225e8477a5-8256e%22	https://affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.4.9.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat7fc7.css	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:17	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:19%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-includes/js/jquery/jquery4a5f.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:17	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-17a69%22	https://affiliaya.itproffer.design/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-includes/js/jquery/jquery4a5f.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:17	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:19%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:17	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-2748%22	https://affiliaya.itproffer.design/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:18	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:19%20GMT	https://affiliaya.github.io/offerus/wp-content/uploads/2020/03/favicon-16x16-1.png	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/uploads/2020/03/favicon-16x16-1.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:18	593/593	---M--	200	added ('OK')	image/png	etag:%225e8477a5-251%22	https://affiliaya.itproffer.design/wp-content/uploads/2020/03/favicon-16x16-1.png	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/uploads/2020/03/favicon-16x16-1.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:20	4760/4760	---M--	200	added ('OK')	image/png	etag:%225f8ada0-12da-5907ac5c78551%22	https://science.leptitox.com/i/headblock_fb.png	F:/Website%20Code%20Copy/Sasoutbreak/science.leptitox.com/i/headblock_fb.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cc35e4c-247b%22	https://affiliaya.itproffer.design/superaffoutbreak/%22https://affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/css/images/resp-video-preview/video-preview-placeholder.jpg%22	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/superaffoutbreak/_https_/affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/css/images/resp-video-preview/video-preview-placeholder.jpg_	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:21	19268/19268	---M--	200	added ('OK')	image/gif	etag:%2269a7605672a6981c4824888740b2e482%22	https://i.imgur.com/lXaHIzq.gif	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/lXaHIzq.gif	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:22	173797/173797	---M--	200	added ('OK')	image/png	etag:%22b13a38e323ed351f77b9d640d9bc6db5%22	https://i.imgur.com/1j7ajZo.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/1j7ajZo.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:24	51417/51417	---M--	200	added ('OK')	image/png	etag:%22b689d57970ee90a954a873b17065d843%22	https://i.imgur.com/fNqLx2r.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/fNqLx2r.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:25	4981/4981	---M--	200	added ('OK')	image/png	etag:%22cb29d9e9b96ef28486041af841f02517%22	https://i.imgur.com/pgkE2Kw.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/pgkE2Kw.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
