date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:02	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d363bee-247b%22	https://affiliaya.itproffer.design/robots.txt		(from )
08:45:03	68995/68995	---M-Z	200	added ('OK')	text/html	etag:W/%225e7065a9-10d83%22	https://affiliaya.itproffer.design/saspreselltec/	F:/Website%20Code%20Copy/Sastec/affiliaya.itproffer.design/saspreselltec/index.html	(from )
08:45:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2002:44:09%20GMT	https://affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.css?ver=2.4.8	F:/Website%20Code%20Copy/Sastec/affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.0ad2f.delayed	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:05	704/704	---M-Z	200	added ('OK')	text/css	etag:W/%225e7065a9-2c0%22	https://affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.css?ver=2.4.8	F:/Website%20Code%20Copy/Sastec/affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/basead2f.css	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:05	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2002:44:10%20GMT	https://affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.3.3	F:/Website%20Code%20Copy/Sastec/affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/style.minb6db.css	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:06	92846/92846	---M-Z	200	added ('OK')	text/css	etag:W/%225e7065a9-16aae%22	https://affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.3.3	F:/Website%20Code%20Copy/Sastec/affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/style.minb6db.css	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2002:44:11%20GMT	https://affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.3.3	F:/Website%20Code%20Copy/Sastec/affiliaya.github.io/offerus/wp-content/themes/astra/assets/css/minified/menu-animation.minb6db.css	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:07	3412/3412	---M-Z	200	added ('OK')	text/css	etag:W/%225e7065a9-d54%22	https://affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.3.3	F:/Website%20Code%20Copy/Sastec/affiliaya.itproffer.design/wp-content/themes/astra/assets/css/minified/menu-animation.minb6db.css	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:07	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2002:44:12%20GMT	https://affiliaya.github.io/offerus/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	F:/Website%20Code%20Copy/Sastec/affiliaya.github.io/offerus/wp-includes/css/dist/block-library/style.min9dff.css	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:07	41467/41467	---M-Z	200	added ('OK')	text/css	etag:W/%225e7065a9-a1fb%22	https://affiliaya.itproffer.design/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	F:/Website%20Code%20Copy/Sastec/affiliaya.itproffer.design/wp-includes/css/dist/block-library/style.min9dff.css	(from https://affiliaya.itproffer.design/saspreselltec/)
